"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\DEV\Workspace\dashboard_rpa_bbl_2\lib\mail\nodemailer.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 35
"c:\DEV\Workspace\dashboard_rpa_bbl_2\lib\schemas\contact.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\DEV\Workspace\dashboard_rpa_bbl_2\lib\utils.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\DEV\Workspace\dashboard_rpa_bbl_2\next.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\DEV\Workspace\dashboard_rpa_bbl_2\package-lock.json", "JSON", 0, 0, 0, 0, 8304, 0, 0, 0, 0, 0, 1, 8305
"c:\DEV\Workspace\dashboard_rpa_bbl_2\package.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\DEV\Workspace\dashboard_rpa_bbl_2\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\icon_no.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\icon_ok.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 1, 17
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\iconsDisplay.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 1, 59
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\logo_bbl-groupe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\statusIcons - Copie.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 10, 9, 58
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\statusIcons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 19, 10, 71
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\DEV\Workspace\dashboard_rpa_bbl_2\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\DEV\Workspace\dashboard_rpa_bbl_2\tailwind.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\DEV\Workspace\dashboard_rpa_bbl_2\tsconfig.json", "JSON with Comments", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\DEV\Workspace\dashboard_rpa_bbl_2\utils\dataFetcher.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 0, 0, 100, 27, 299
"c:\DEV\Workspace\dashboard_rpa_bbl_2\utils\dataStore.ts", "TypeScript", 357, 0, 0, 0, 0, 0, 0, 0, 0, 318, 57, 732
"c:\DEV\Workspace\dashboard_rpa_bbl_2\variable_explanation.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 16, 69
"Total", "-", 727, 509, 42, 6, 8351, 2953, 18, 123, 58, 618, 567, 13972
